Timestamp,Username,Itch,Idea
"2023/08/16 7:11:50 PM AST","","KarlWunsche","14. Retro - by OwO the 2nd"
"2023/08/16 7:22:46 PM AST","","kosmotion","45. ZERO & ONE (0|1)"
"2023/08/16 7:32:56 PM AST","","Russian lizzard","24. Four keys - by aceticorb"
"2023/08/16 7:34:47 PM AST","","0xchatware","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/16 7:35:11 PM AST","","ptrstr","27. Preconceptions - by day1005"
"2023/08/16 8:41:56 PM AST","","Suza_K","37. Lost - by OwO the 2nd"
"2023/08/16 9:18:33 PM AST","","L°A°T°T°E","29. Unexpected - by 42Kami"
"2023/08/16 9:58:02 PM AST","","Eduardo Freitas","11. Cats - by Kira"
"2023/08/16 10:28:07 PM AST","","DoubleBind","12. ΞƦƦǾƦ - by da real Newbie bot"
"2023/08/16 11:28:59 PM AST","","esthernadja","2. Companion"
"2023/08/16 11:42:40 PM AST","","Reddy","24. Four keys - by aceticorb"
"2023/08/17 1:54:20 AM AST","","gamejarne","37. Lost - by OwO the 2nd"
"2023/08/17 2:07:23 AM AST","","Quack Quack Games","1. Illusions - by Lennyi"
"2023/08/17 3:25:42 AM AST","","uio890","20. Artificial life - by Avallone"
"2023/08/17 5:42:08 AM AST","","TheAmbientFort","21. No more value - by Sanse329"
"2023/08/17 6:39:34 AM AST","","Curios","2. Companion"
"2023/08/17 6:46:22 AM AST","","absentspaghetti","16. World without technology"
"2023/08/17 7:54:15 AM AST","","MarcieFul","4. Explore - by RAZU"
"2023/08/17 11:51:19 AM AST","","jonafelix2","13. Repair"
"2023/08/17 12:18:22 PM AST","","froskiie","9. Target is Up there!"
"2023/08/17 1:46:07 PM AST","","yeeshastone","37. Lost - by OwO the 2nd"
"2023/08/17 2:22:03 PM AST","","rudemice","26. Dark Atmosphere - by PatrickMan"
"2023/08/17 6:07:55 PM AST","","Fuonashadow2","14. Retro - by OwO the 2nd"
"2023/08/17 6:12:30 PM AST","","Saphera13","38. Reflections - by ShadySlim"
"2023/08/17 7:15:16 PM AST","","Danceing_SpelledWrong","7. Sacrifice - by da real Newbie bot"
"2023/08/17 8:39:43 PM AST","","Kandal","26. Dark Atmosphere - by PatrickMan"
"2023/08/17 11:08:23 PM AST","","STzillion ","5. Consequnce  - by Sodaguyz"
"2023/08/18 5:43:56 AM AST","","Plelb","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/18 8:18:28 AM AST","","Docudo","9. Target is Up there!"
"2023/08/18 9:15:29 AM AST","","improvkardi","11. Cats - by Kira"
"2023/08/18 10:56:38 AM AST","","Eshnyd","3. Don’t Kill -  by PSS"
"2023/08/18 11:30:51 AM AST","","Hyper-LinesDev","41. Starting at the end - by RAMDER007RED"
"2023/08/18 11:49:04 AM AST","","Amith GD","17. Everything is your enemy - by AstroCookie"
"2023/08/18 12:16:25 PM AST","","CheekyTrooper","26. Dark Atmosphere - by PatrickMan"
"2023/08/18 12:55:55 PM AST","","PriddyNeatGames","15. Enemy Mimicing - by OwO the 2nd"
"2023/08/18 1:23:48 PM AST","","RAMDER007RED","25. Lost - by ZipZach"
"2023/08/18 3:18:40 PM AST","","Gekkonida","2. Companion"
"2023/08/18 3:51:19 PM AST","","Marco Pritzi ","12. ΞƦƦǾƦ - by da real Newbie bot"
"2023/08/18 4:32:24 PM AST","","briandac","11. Cats - by Kira"
"2023/08/18 5:24:30 PM AST","","alangrios","4. Explore - by RAZU"
"2023/08/18 9:02:56 PM AST","","Golden_Lizard","24. Four keys - by aceticorb"
"2023/08/19 4:56:47 AM AST","","flipdipguy","12. ΞƦƦǾƦ - by da real Newbie bot"
"2023/08/19 5:12:20 AM AST","","frayhem","32. Time manipulation - by OwO The 2nd"
"2023/08/19 7:35:07 AM AST","","Jimmylad89 ","4. Explore - by RAZU"
"2023/08/19 8:55:36 AM AST","","Dakspieth","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/19 9:57:40 AM AST","","Nicompany","2. Companion"
"2023/08/19 10:53:53 AM AST","","Abby's funhouse","18. Last man standing - by AstroCookie Games"
"2023/08/19 2:32:57 PM AST","","Fitzeronik","2. Companion"
"2023/08/19 2:34:27 PM AST","","QKewGames","2. Companion"
"2023/08/19 3:55:02 PM AST","","ScoperPL","3. Don’t Kill -  by PSS"
"2023/08/19 4:41:55 PM AST","","toastguns","31. Arcade game with a catch!"
"2023/08/19 6:26:40 PM AST","","https://daagudelop.itch.io/","25. Lost - by ZipZach"
"2023/08/19 6:26:48 PM AST","","Mr.Evilus","25. Lost - by ZipZach"
"2023/08/19 6:44:39 PM AST","","myrccar","21. No more value - by Sanse329"
"2023/08/19 7:07:35 PM AST","","Serchacho","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/19 7:33:33 PM AST","","FrankCC128","45. ZERO & ONE (0|1)"
"2023/08/19 7:41:34 PM AST","","heroicgames","39. Transformations - by Suza_K"
"2023/08/19 11:06:55 PM AST","","haueisen","4. Explore - by RAZU"
"2023/08/20 12:05:48 AM AST","","Xarrak","8. Second chance - by Toucan"
"2023/08/20 12:13:45 AM AST","","Livinggamemusic","1. Illusions - by Lennyi"
"2023/08/20 12:47:40 AM AST","","GHOZTSHXRKZ","12. ΞƦƦǾƦ - by da real Newbie bot"
"2023/08/20 3:10:54 AM AST","","AybarsZeus","2. Companion"
"2023/08/20 3:22:23 AM AST","","efimother","3. Don’t Kill -  by PSS"
"2023/08/20 3:25:05 AM AST","","blis12","10. Control the environment! - by TurtlePrograms"
"2023/08/20 4:04:03 AM AST","","D0IP","32. Time manipulation - by OwO The 2nd"
"2023/08/20 4:24:07 AM AST","","klaibeda","18. Last man standing - by AstroCookie Games"
"2023/08/20 4:57:47 AM AST","","Genix Games","28. Adaptation - by day1005"
"2023/08/20 5:53:27 AM AST","","quietbat","39. Transformations - by Suza_K"
"2023/08/20 6:02:04 AM AST","","houyi","31. Arcade game with a catch!"
"2023/08/20 6:10:19 AM AST","","DocMine","5. Consequnce  - by Sodaguyz"
"2023/08/20 6:16:56 AM AST","","mrbruhhh","23. Nobody is there - by aceticorb"
"2023/08/20 7:25:10 AM AST","","EngineerTroy","26. Dark Atmosphere - by PatrickMan"
"2023/08/20 7:36:37 AM AST","","malpha43","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/20 8:09:45 AM AST","","indy the mozar","19. The cursor is the enemy - by AstroCookie Games"
"2023/08/20 8:33:13 AM AST","","https://sudhan.itch.io/","14. Retro - by OwO the 2nd"
"2023/08/20 8:40:25 AM AST","","AToska21","5. Consequnce  - by Sodaguyz"
"2023/08/20 8:43:32 AM AST","","gemrofluck","1. Illusions - by Lennyi"
"2023/08/20 9:06:25 AM AST","","MihailDev","42. Fire and Water - by A Lil Froggy"
"2023/08/20 9:26:34 AM AST","","Roland_Ancora","16. World without technology"
"2023/08/20 9:37:04 AM AST","","deathnight1","1. Illusions - by Lennyi"
"2023/08/20 10:00:30 AM AST","","TTigas","44. Time is your key 🔑"
"2023/08/20 10:41:25 AM AST","","52Angie52","45. ZERO & ONE (0|1)"
